"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C88","C_0402","21.2476mm","28.547mm","21.2476mm","28.547mm","20.894mm","28.9005mm","B","315.00","104"
"C87","C_0402","12.2716mm","28.5136mm","12.2716mm","28.5136mm","11.9181mm","28.16mm","B","45.00","104"
"C86","C_0402","23.6606mm","31.7225mm","23.6606mm","31.7225mm","24.0141mm","32.076mm","B","225.00","104"
"C85","C_0402","22.0096mm","30.0715mm","22.0096mm","30.0715mm","21.656mm","29.7179mm","B","45.00","104"
"C84","C_0402","39.4708mm","35.1803mm","39.4708mm","35.1803mm","38.9708mm","35.1803mm","T","0.00","104"
"C83","C_0402","12.3067mm","33.5768mm","12.3067mm","33.5768mm","11.9532mm","33.9304mm","T","315.00","104"
"C82","C_0402","39.4944mm","34.0711mm","39.4944mm","34.0711mm","39.9944mm","34.0711mm","T","180.00","104"
"C81","C_0402","13.1449mm","34.3388mm","13.1449mm","34.3388mm","13.4985mm","33.9853mm","T","135.00","104"
"C8","C_0603","21.8186mm","10.7186mm","21.8186mm","10.7186mm","20.9931mm","10.7186mm","T","0.00","10uF"
"C71","C_0402","61.136mm","41.867mm","61.136mm","41.867mm","60.636mm","41.867mm","T","360.00","1uF"
"C70","C_0402","72.439mm","34.9504mm","72.439mm","34.9504mm","72.939mm","34.9504mm","T","180.00","102"
"C7","C_0402","49.5172mm","16.6304mm","49.5172mm","16.6304mm","50.0172mm","16.6304mm","T","180.00","104"
"C69","C_0603","70.788mm","46.122mm","70.788mm","46.122mm","70.788mm","46.9475mm","T","270.00","4.7uF"
"C68","C_0603","63.803mm","32.85mm","63.803mm","32.85mm","63.803mm","33.6755mm","T","270.00","10uF"
"C67","C_0603","62.025mm","46.122mm","62.025mm","46.122mm","62.025mm","45.2965mm","T","90.00","4.7uF"
"C66","TAN_0603","26.327mm","45.1038mm","26.327mm","45.1038mm","27.1525mm","45.1038mm","T","180.00","22uF"
"C65","C_0402","26.708mm","43.9608mm","26.708mm","43.9608mm","27.208mm","43.9608mm","T","180.00","0.01uF"
"C64","C_0603","24.0918mm","44.6974mm","24.0918mm","44.6974mm","24.0918mm","43.8719mm","T","90.00","4.7uF"
"C63","C_0603","65.2mm","32.85mm","65.2mm","32.85mm","65.2mm","32.0245mm","T","90.00","4.7uF"
"C62","C_0402","61.136mm","42.756mm","61.136mm","42.756mm","60.636mm","42.756mm","T","360.00","1uF"
"C61","C_0603","71.042mm","45.995mm","71.042mm","45.995mm","71.042mm","45.1695mm","B","90.00","4.7uF"
"C60","C_0402","61.136mm","40.089mm","61.136mm","40.089mm","61.636mm","40.089mm","T","180.00","1uF"
"C58","C_0402","23.5072mm","41.4782mm","23.5072mm","41.4782mm","23.5072mm","41.9782mm","T","270.00","47pF"
"C57","C_0603","69.01mm","46.122mm","69.01mm","46.122mm","69.01mm","45.2965mm","T","90.00","10uF"
"C56","C_0402","69.899mm","45.55mm","69.899mm","45.55mm","69.899mm","45.05mm","B","90.00","102"
"C55","C_0603","68.629mm","45.931mm","68.629mm","45.931mm","68.629mm","45.1055mm","B","90.00","10uF"
"C54","C_0603","59.358mm","37.422mm","59.358mm","37.422mm","59.358mm","38.2475mm","T","270.00","10uF"
"C53","C_0603","60.882mm","35.263mm","60.882mm","35.263mm","60.882mm","36.0885mm","T","270.00","10uF"
